name,price,b2bPrice,stock,description,category,barcode,imageUrl
Absenta Fleur De Lis,154600,125001,98,Absenta Fleur De Lis,Absenta,8413425005109,products/images/8413425005109.webp
Absolut Original x 700 ml,113000,98624,0,Absolut Original x 700 ml,Vodka,,products/images/7312040017683.webp
Aguardiente Amarillo De Manzanares X 375 Ml,35000,34375,100,Aguardiente Amarillo De Manzanares X 375 Ml,Aguardiente,7702168594300,products/images/7702168594300.webp
Aguardiente Amarillo De Manzanares X 750 Ml,65000,59225,89,Aguardiente Amarillo De Manzanares X 750 Ml,Aguardiente,7702168278477,products/images/7702168278477.webp
Aguardiente Antioqueño Azul 375 Ml Sin Azucar,36000,33875,100,Aguardiente Antioqueño Azul 375 Ml Sin Azucar,Aguardiente,7702049000548,products/images/7702049000548.webp
Aguardiente Antioqueño Verde X 700 Ml,53000,53668,100,Aguardiente Antioqueño Verde X 700 Ml,Aguardiente,7702049001644,products/images/7702049001644.webp
Aguardiente Antioqueño Verd X 375 Ml Sin Azucar,29000,28250,100,Aguardiente Antioqueño Verd X 375 Ml Sin Azucar,Aguardiente,7702049001637,products/images/7702049001637.webp
Aguardiente Antioqueño X 750 Ml Sin Azucar,60000,61375,100,Aguardiente Antioqueño X 750 Ml Sin Azucar,Aguardiente,7702049000531,products/images/7702049000531.webp
Aguardiente Cumbé X 700 Ml,89000,89000,100,Aguardiente Cumbé X 700 Ml,Aguardiente,816136023819,products/images/816136023819.webp
Aguardiente Real Amarillo Antioqueño,59000,60938,100,Aguardiente Real Amarillo Antioqueño,Aguardiente,7702049002177,products/images/7702049002177.webp
Aguardiente Sello Blanco Rosado,45000,45000,100,Aguardiente Sello Blanco Rosado,Aguardiente,7707113804664,products/images/7707113804664.webp
Agua Tonica Canada Dry X 300 Ml,3300,3300,98,Agua Tonica Canada Dry X 300 Ml,Agua Tonica,7702090060379,products/images/7702090060379.webp
Agua Tonica Mil 976 Artesanal Pink X 4,35700,35700,100,Agua Tonica Mil 976 Artesanal Pink X 4,Agua Tonica,7703562109107,products/images/7703562109107.webp
Agua Tonica Mil 976 X 4 Cero Calorias,25600,25600,100,Agua Tonica Mil 976 X 4 Cero Calorias,Agua Tonica,7703562107721,products/images/7703562107721.webp
Agua Tonica Mil 976 X 4 Ocean,35700,35700,100,Agua Tonica Mil 976 X 4 Ocean,Agua Tonica,7703562107844,products/images/7703562107844.webp
Aguila Light Six Pac,25000,25000,100,Aguila Light Six Pac,Cerveza,7702004001962,products/images/7702004001962.webp
Aguila Six Pac,22000,22000,93,Aguila Six Pac,Cerveza,7702004001924,products/images/7702004001924.webp
Aguila Sixpac + Arroz Roa gratis,22000,22000,97,Combo Cerveza Águila Six lleva gratis Arroz Roa x 500 gr,Combo,,https://cdn.expressapp.net/p/aguila-arroz.webp
Andina X 269 Sixpac,18000,18000,97,Andina X 269 Sixpac,Cerveza,7702090050578,products/images/7702090050578.webp
Aroz Roa x 500 gr,2050,1800,99,"Roa el señor arroz de las señoras. 100% arroz blanco selecionado, vitamina A y ácido fólico",Dispensa,7702552000097,products/images/7702552000097.webp
Axis Triple Sec x 700 ml,66000,59695,10,Axis Triple Sec x 700 mlAxis Triple Sec x 700 ml,Licores,,products/images/7707113805302.webp
Baileys x 1000 ml,135000,123583,10,Baileys x 1000 ml,Crema de Whiskey,,products/images/5011013100118.webp
Ballantines X 375 Ml,49000,43770,100,Ballantines X 375 Ml,Whiskey,5010106112250,products/images/5010106112250.webp
Ballantines X 700 Ml,84000,78540,100,Ballantines X 700 Ml,Whiskey,5010106113073,products/images/5010106113073.webp
Beefeater x 700 ml,177000,168750,5,Ginebra Beefeater 700 ml. Clásico sabor seco con notas cítricas y de enebro. Ideal para cocteles como el gin & tonic,Ginebra,,products/images/5000329002193.webp
Black And White X 375 Ml,50000,46250,100,Black And White X 375 Ml,Whiskey,50196166,products/images/50196166.webp
Black And White X 700 Ml,92000,87303,100,Black And White X 700 Ml,Whiskey,50196135,products/images/50196135.webp
Brandy Domeco X 750 Ml,73700,68250,100,Brandy Domeco X 750 Ml,Brandy,7702450011010,products/images/7702450011010.webp
Brandy Grajales X 750 Ml,66900,66105,100,Brandy Grajales X 750 Ml,Brandy,7702121245072,products/images/7702121245072.webp
Bruder Barley Wine,15000,15000,100,Bruder Barley Wine,Cerveza Artesanal,7709685453601,products/images/7709685453601.webp
Bruder Cafe,13000,13000,100,Bruder Cafe,Cerveza Artesanal,7709339583651,products/images/7709339583651.webp
Bruder Chocolate,13000,13000,98,Bruder Chocolate,Cerveza Artesanal,7709685453608,products/images/7709685453608.webp
Bruder Imperial,15000,15000,100,Bruder Imperial,Cerveza Artesanal,7709685453691,products/images/7709685453691.webp
